"question","answer","Questions","Answers","questions","answers"
"Which period shall be considered for interest under Section 234B in case of re-assessment without regular assessment?","If assessment is first made u/s 147, interest is payable from April 1 of assessment year till date of assessment order.","","","",""
"Which period shall be considered for interest under Section 234B in case of re-assessment after the regular assessment?","If proceedings u/s 147 start after tax determination u/s 143(1) or 143(3), interest is levied from April 1 till reassessment order. Interest applies on tax determined in reassessment minus earlier assessed tax.","","","",""
"Whether interest under Section 234B shall be levied on the amount of additional income tax payable under Section 140B?","No.","","","",""
"What are the due dates for payment of advance tax?","Advance tax is payable in four instalments: 15% by June 15, 45% by September 15, 75% by December 15, and 100% by March 15. Any tax paid on or before March 31 is also treated as advance tax.","","","",""
"When interest under Section 234C shall be levied?","Interest u/s 234C is levied if advance tax instalments are less than prescribed percentages: less than 12% by June 15, less than 36% by September 15, less than 75% by December 15, or less than 100% by March 15.","","","",""
"What is the due date for payment of advance tax if the assessee has opted presumptive taxation scheme under Sections 44AD or 44ADA?","Assessee opting presumptive taxation u/s 44AD or 44ADA can pay the entire advance tax liability in one instalment on or before March 15.","","","",""
"When shall interest under Section 234C be charged if the assessee has opted presumptive taxation scheme of Sections 44AD or 44ADA?","Interest u/s 234C is levied if advance tax paid on or before March 15 is less than 100% of advance tax payable.","","","",""
"How to calculate interest under section 234C?","Interest is payable on shortfall for: 3 months if tax paid by June 15 is less than 12%; 3 months if paid by Sept 15 is less than 36%; 3 months if paid by Dec 15 is less than 75%; and 1 month if paid by March 15 is less than 100%.","","","",""
"How to calculate interest under Section 234C if the assessee has opted presumptive taxation scheme of Section 44AD or 44ADA?","If advance tax paid by March 15 is less than 100% of assessed tax, simple interest at 1% is charged for 1 month on the shortfall amount.","","","",""
"What are the exceptional cases where a shortfall in payment of advance tax shall be ignored for calculation of interest under section 234C?","Shortfall is ignored if due to underestimation of capital gains, lottery/gambling winnings, first-time business/profession income accrual, or dividend income, provided tax is paid in remaining instalments or before year-end.","","","",""
"When is interest under Section 234D levied?","Interest u/s 234D is levied if refund granted under summary assessment is later found not due or excess on completion of regular assessment.","","","",""
"What is the rate of interest that shall be charged under Section 234D?","Simple interest shall be charged at the rate of 0.5% per month or part thereof.","","","",""
"Which amount shall be taken to calculate interest under Section 234D?","Interest is charged on the whole refund amount if no refund is due, or on the excess refund amount if refunded amount exceeds regular assessment refund.","","","",""
"Which period shall be considered for interest under Section 234D?","Interest is charged from the date of grant of refund on summary assessment u/s 143(1) until completion of regular assessment.","","","",""
"What are the salient features of ‘E-Proceedings’ functionality on the ‘e-filing’ portal of the Income Tax department?","The Income Tax Department launched the e-proceeding facility to conduct assessment proceedings electronically. Notices, questionnaires, intimations, orders, and communications are sent directly to the taxpayer’s registered e-filing account. Taxpayers can upload responses and attachments online without visiting the office. This makes proceedings faceless, paperless, jurisdiction-less, and available 24x7.","","","",""
"How does the new ‘Faceless Assessments’ system under Section 144B differ from the conventional manual mode of assessments?","In conventional assessments, notices were served physically and taxpayers or representatives submitted responses in person with hard copies. Under faceless assessments u/s 144B, all communications are electronic through the taxpayer’s e-filing account, responses are uploaded online, and there is no personal interaction with the assessing officer. The key difference is physical interface versus electronic interface.","","","",""
"Which are the different Income Tax Units under the new ecosystem of Faceless Assessments under Section 144B?","The units under faceless assessments u/s 144B are: (a) National Faceless Assessment Centre, (b) Assessment Unit, (c) Technical Unit, (d) Verification Unit, and (e) Review Unit.","","","",""
"Which Income Tax Unit will do all the electronic communication/interface with the assessee under the New Scheme of Faceless Assessments under Section 144B?","The National Faceless Assessment Centre will handle all electronic communication/interface with the assessee under Section 144B.","","","",""
"Where can I see if any query has been raised against my response given against an adjustment made under Section 143(1)(a)?","You can view queries raised by the Income Tax Department under e-Proceedings on the e-filing portal.","","","",""
"What notices/orders can I respond to under e-Proceedings?","All notices/intimations/letters issued by CPC or the Income Tax Department can be responded to under e-Proceedings, including defective notice u/s 139(9), intimation u/s 245, prima facie adjustment u/s 143(1)(a), suo-moto rectification u/s 154, scrutiny notices u/s 143(2)/142(1)/148, and seek clarification u/s 133(6).","","","",""
"What is the permissible size of files that can be uploaded in the response window?","Maximum size for a single attachment is 5 MB. Multiple documents can be uploaded as a zipped folder up to 50 MB. If size exceeds limits, documents should be optimized or compressed.","","","",""
"Do I need to log in to the e-Filing portal to view and submit a response?","Yes, you must log in to the e-Filing portal to view and submit a response using the e-Proceedings service.","","","",""
"Do I need to e-Verify the response/submission made using the e-Proceedings service?","Yes, you are required to e-Verify the response submitted through e-Proceedings.","","","",""
"I have 4 days left before the proceeding limitation date. Why am I unable to submit my response?","The submit response option is available only till 7 days prior to the proceeding limitation date up to 6 PM. The Income Tax Authority may also close the submission option, though it can be re-enabled at their discretion.","","","",""
"Can I view the response I have submitted to the notice issued to me?","Yes, you can view the response submitted by you or your authorized representative.","","","",""
"Can I edit my response after responding to a notice on the e-Filing portal?","No, once a response is submitted, it cannot be edited.","","","",""
"Can I respond to a seek clarification notice without logging on to the e-Filing portal?","No, you must log in to view and respond to seek clarification communication.","","","",""
"Can somebody else on my behalf respond to the notices issued to me using the e-Proceedings service?","Yes, you can add an authorized representative to respond on your behalf, except for Intimation under Section 245.","","","",""
"Can I remove an already added/existing Authorized Representative?","Yes, you can remove or withdraw the authorized representative.","","","",""
"Can I add two Authorized Representatives to respond to the notice issued to me?","No, only one active authorized representative is allowed at a time for a proceeding.","","","",""
"How do I know if there is any outstanding demand pending against my PAN?","Log in to the e-Filing portal and go to Pending Actions > Response to Outstanding Demand. If demands exist, options will show as Pending Payment/Response where you can Pay Now or Submit Response.","","","",""
"Why do I need to submit a response to an outstanding demand?","The department provides an opportunity to confirm whether the demand is correct. If you do not respond, the demand may be confirmed and adjusted against refunds or shown as payable demand.","","","",""
"What can I do if I disagree with the amount of outstanding demand?","Select ‘Disagree with Demand (Either in Full or Part)’, choose the reasons for disagreement, provide details, and submit the response. If partially disagreeing, pay the undisputed portion first.","","","",""
"What can I do if the reason for disagreement with the outstanding demand is not listed?","Select ‘Others’ as the reason and enter the required details for disagreement.","","","",""
"Where can I view the past responses I have submitted?","Log in and go to Pending Actions > Response to Outstanding Demand. Click ‘View’ against a demand where at least one response has already been submitted.","","","",""
"While selecting reasons on the Response to Outstanding Demand page, I get the message “No records found for revised/rectified return”. What can I do?","Try again. If the issue persists, validate the acknowledgement number received after submission of rectification or revised return request.","","","",""
"How do I pay the outstanding tax demand?","You can pay through the e-Filing portal by clicking ‘Pay Now’ for the respective Demand Reference Number (DRN) on the Response to Outstanding Demand page, or while submitting your response if you agree/partially agree.","","","",""
"What are the different ways in which I can make the payment?","Online payment methods include net-banking, debit card, payment gateway (credit/debit/UPI). Offline methods include NEFT/RTGS using mandate form, or paying over the counter via cash/cheque/demand draft.","","","",""
"What if I do not have the copy of the challan to be attached? Where can I find it?","You can reprint or regenerate the challan from your bank’s net banking portal or visit the bank branch.","","","",""
"When do I need to submit a rectification request?","Rectification can be submitted if there is a mistake apparent from record in an intimation u/s 143(1) or order u/s 154. It can be filed only for returns already processed by CPC.","","","",""
"What kinds of errors can be corrected by submitting a rectification request?","Rectification is for mistakes apparent from record such as tax liability mismatch, incorrect income head, set-off errors, deduction errors under Chapter VI-A, MAT/AMT credit issues, or personal info corrections. It should not be used for changing bank or address details, which require revised return.","","","",""
"What are the different request types for income tax rectification?","Rectification request types include: Reprocess Return, Tax Credit Mismatch Correction, Additional Information for Section 234C Interest, Status Correction (till AY 2018-19)","","","",""
"When penalty under Section 221 shall be imposed?","Penalty under Section 221 shall be imposed if an assessee is in default or is deemed to be in default in payment of tax.","","","",""
"What is the amount of penalty levied under section 221?","Such amount as the Assessing Officer may impose, subject to a maximum limit of tax in arrears.","","","",""
"When penalty under Section 270A may be imposed?","Penalty under Section 270A may be imposed for under-reporting and misreporting of income (not being unexplained income).","","","",""
"What is under-reporting of income?","Under-reporting occurs when income assessed is higher than income declared/processed, income exceeds exemption limit when no return is filed, reassessed income exceeds earlier assessed income, or assessed income reduces loss or converts loss into income (including MAT/AMT cases).","","","",""
"What is misreporting of income?","Misreporting includes misrepresentation or suppression of facts, failure to record investments or receipts, claim of expenditure without evidence, false entries in books, and failure to report international or specified domestic transactions under Chapter X.","","","",""
"What is the amount of penalty levied under section 270A?","Penalty is 50% of tax payable on under-reported income. If under-reporting is due to misreporting, penalty is 200% of tax payable on under-reported income.","","","",""
"When penalty under Section 271A may be imposed?","Penalty under Section 271A may be imposed if a person fails to keep and maintain books of account and documents as required under Section 44AA or fails to retain them for 6 years.","","","",""
"What is the amount of penalty levied under section 271A?","Rs. 25,000.","","","",""
"When penalty under Section 271AA may be imposed?","Penalty under Section 271AA may be imposed for failure to maintain or report documents/information under Section 92D for international or specified domestic transactions, or furnishing incorrect information.","","","",""
"What is the amount of penalty levied under section 271AA?","Penalty is 2% of the value of each international or specified domestic transaction. For failure under Section 92D(4), penalty of Rs. 5,00,000 may be imposed.","","","",""
"When penalty under Section 271AAA shall be imposed?","Penalty under Section 271AAA applies where a search was initiated before 1-7-2012 and undisclosed income is found.","","","",""
"What is the amount of penalty levied under section 271AAA?","10% of undisclosed income.","","","",""
"When penalty under Section 271AAB(1) may be imposed?","Penalty under Section 271AAB(1) applies where a search was initiated on or after 1-7-2012 but before 15-12-2016 and undisclosed income is found.","","","",""
"What is the amount of penalty levied under section 271AAB(1)?","10% if income is admitted and tax+interest paid by specified date; 20% if not admitted but declared and paid; 60% in other cases.","","","",""
"When penalty under Section 271AAB(1A) may be imposed?","Penalty under Section 271AAB(1A) applies where a search is initiated on or after 15-12-2016 and undisclosed income is found (not applicable for searches on or after 1-09-2024).","","","",""
"What is the amount of penalty levied under section 271AAB(1A)?","30% if income is admitted and tax+interest paid by specified date; 60% in any other case.","","","",""
"When penalty under Section 271AAC may be imposed?","Penalty under Section 271AAC may be imposed when income determined includes unexplained income under sections 68, 69, 69A, 69B, 69C or 69D, and such income is not included in return or tax u/s 115BBE is not paid.","","","",""
"What is the amount of penalty levied under section 271AAC?","10% of tax payable under section 115BBE.","","","",""
"When penalty under Section 271AAD may be imposed?","Penalty under Section 271AAD may be imposed if false entries or omission of relevant entries to evade tax are found in books of account during proceedings.","","","",""
"What is the amount of penalty levied under section 271AAD?","100% of such false or omitted entry amount.","","","",""
"When penalty under Section 271AAE may be imposed?","Penalty under Section 271AAE applies for violation of provisions relating to unreasonable benefits passed to trustees or specified persons under section 10(23C) proviso or section 13(1)(c).","","","",""
"What is the amount of penalty levied under section 271AAE?","First violation: extent of income applied for benefit of interested person u/s 13(3). Subsequent violations: twice such income.","","","",""
"When penalty under Section 271B may be imposed?","Penalty under Section 271B may be imposed if a person fails to get accounts audited or fails to furnish audit report u/s 44AB by due date.","","","",""
"What is the amount of penalty levied under section 271B?","0.5% of turnover/gross receipts or Rs. 1,50,000, whichever is less.","","","",""
"When penalty under Section 271BA shall be imposed?","Penalty under Section 271BA applies if a person entering into international or specified domestic transaction fails to furnish CA report in Form 3CEB by due date.","","","",""
"What is the amount of penalty levied under section 271BA?","Rs. 1,00,000.","","","",""
"When penalty under Section 271BB may be imposed?","Penalty under Section 271BB may be imposed for failure to subscribe any amount to units issued under scheme referred to in section 88A(1) (omitted w.e.f AY 26-27).","","","",""
"What is the amount of penalty levied under section 271BB?","20% of such amount (omitted w.e.f. AY 26-27).","","","",""
"When penalty under Section 271C shall be imposed?","Penalty under Section 271C shall be imposed for defaults such as failure to deduct TDS (whole or part), failure to pay dividend distribution tax, failure to ensure payment of tax on winnings in kind u/s 194B or 194BA, failure to ensure payment of tax on benefit/perquisite in kind u/s 194R, and failure to ensure payment of tax on consideration for transfer of VDA in kind u/s 194S.","","","",""
"What is the amount of penalty levied under section 271C?","Penalty shall be equal to the amount of tax which the person has failed to deduct or pay.","","","",""
"When penalty under Section 271CA shall be imposed?","Penalty under Section 271CA shall be imposed if a person fails to collect whole or part of tax required to be collected u/s 206C.","","","",""
"What is the amount of penalty levied under section 271CA?","Penalty shall be equal to the amount of tax which such person has failed to collect.","","","",""
"When penalty under Section 271D shall be imposed?","Penalty under Section 271D shall be imposed if a person takes or accepts any loan, deposit, or specified sum in cash or in contravention of Section 269SS. Specified sum means money receivable in relation to transfer of immovable property.","","","",""
"What is the amount of penalty levied under section 271D?","Penalty shall be equal to the amount of loan, deposit, or specified sum so taken or accepted.","","","",""
"When penalty under Section 271DA shall be imposed?","Penalty under Section 271DA shall be imposed if a person receives Rs. 2,00,000 or more from a person in cash or in contravention of Section 269ST.","","","",""
"What is the amount of penalty levied under section 271DA?","Penalty shall be equal to the amount of such receipt.","","","",""
"When penalty under Section 271DB shall be imposed?","Penalty under Section 271DB shall be imposed if a business with turnover exceeding Rs. 50 crores fails to provide facility for accepting payments through prescribed electronic modes u/s 269SU.","","","",""
"What is the amount of penalty levied under section 271DB?","Rs. 5,000 for every day of default.","","","",""
"When penalty under Section 271E shall be imposed?","Penalty under Section 271E shall be imposed if a person repays any loan, deposit (including interest), or specified advance in cash or in contravention of Section 269T. Specified advance means money in relation to transfer of immovable property.","","","",""
"What is the amount of penalty levied under section 271E?","Penalty shall be equal to the amount of loan, deposit, or specified advance so repaid.","","","",""
"When penalty under Section 271FA may be imposed?","Penalty under Section 271FA may be imposed if a person fails to furnish Statement of Financial Transaction or Reportable Account u/s 285BA by due date.","","","",""
"What is the amount of penalty levied under section 271FA?","Rs. 500 per day of default. If not filed even after notice within 30 days, penalty becomes Rs. 1,000 per day from expiry of notice period.","","","",""
"When penalty under Section 271FAA may be imposed?","Penalty under Section 271FAA may be imposed if a person provides inaccurate information in Statement of Financial Transaction or Reportable Account u/s 285BA due to deliberate failure, false info from account holder, failure to inform tax authorities, or failure to correct within 10 days. W.e.f. 01-10-2024, penalty of Rs. 50,000 applies for furnishing inaccurate info or failure of due diligence.","","","",""
"What is the amount of penalty levied under section 271FAA?","Rs. 50,000. Additional penalty of Rs. 5,000 per reportable account may apply for inaccuracies due to false info from account holders.","","","",""
"When penalty under Section 271FAB may be imposed?","Penalty under Section 271FAB may be imposed if an eligible investment fund fails to furnish statement in Form 3CEK relating to conditions u/s 9A within prescribed time.","","","",""
"What is the amount of penalty levied under section 271FAB?","Rs. 5,00,000.","","","",""
"When penalty under Section 271G may be imposed?","Penalty under Section 271G may be imposed if a person entering into international or specified domestic transaction fails to furnish information/documents required u/s 92D by Assessing Officer or Commissioner (Appeals).","","","",""
"What is the amount of penalty levied under section 271G?","Penalty is 2% of the value of the international or specified domestic transaction for each failure.","","","",""
"When penalty under Section 271GA may be imposed?","Penalty under Section 271GA applies when an Indian concern fails to furnish prescribed information required under Section 285A for indirect transfer cases where foreign entity derives substantial value from Indian assets.","","","",""
"What is the amount of penalty levied under section 271GA?","2% of transaction value if it transfers management/control rights, or Rs. 5,00,000 in other cases.","","","",""
"When penalty under Section 271GB(1) may be imposed?","Penalty under Section 271GB(1) may be imposed if a reporting entity fails to furnish Country-by-Country Report (CbCR) in Form 3CEAD as required u/s 286.","","","",""
"What is the amount of penalty levied under section 271GB(1)?","Rs. 5,000 per day if failure does not exceed 1 month; Rs. 15,000 per day if exceeds 1 month; Rs. 50,000 per day if continues after penalty order service.","","","",""
"What is Form GSTR-3B?","Form GSTR-3B is a simplified summary return where taxpayers declare their summary GST liabilities for a particular tax period and discharge these liabilities. A normal taxpayer is required to file GSTR-3B for every tax period.","","","",""
"Who needs to file Form GSTR-3B?","All normal taxpayers and casual taxpayers are required to file Form GSTR-3B.","","","",""
"Where can I file Form GSTR-3B?","Form GSTR-3B can be filed from the returns section of the GST Portal. After logging in, go to Services > Returns > Returns Dashboard. Select the financial year and tax period, and the return tile will be displayed.","","","",""
"By when do I need to file Form GSTR-3B?","For monthly filers, the due date is the 20th day of the month following the tax period. For quarterly filers under QRMP, the due dates are the 22nd and 24th day of the month following the quarter. These dates may be extended by government notification.","","","",""
"Is filing of Form GSTR-3B mandatory even if there is no business in the particular tax period?","Yes, filing of Form GSTR-3B is mandatory for all normal and casual taxpayers even if there is no business in that particular tax period.","","","",""
"What values get auto-populated from Form GSTR-1/1A and GSTR-2B to Form GSTR-3B?","Values in GSTR-3B such as outward supplies, reverse charge, and ITC related figures are auto-populated based on data declared by suppliers in their Form GSTR-1/1A and values from system generated GSTR-2B. The portal uses specific table mappings for auto-population.","","","",""
"Can I edit the values auto-populated from Forms GSTR-1/1A and GSTR-2B in Form GSTR-3B?","Yes, auto-populated values in GSTR-3B are editable. If edited, those fields are highlighted in red with a warning message. The system shows both auto-populated and edited values on hover.","","","",""
"Is the auto-populated data available in downloadable format?","Yes, a system-generated summary with details of values auto-populated from GSTR-1/1A and GSTR-2B along with a detailed breakup can be downloaded as a PDF by clicking the System Generated GSTR-3B button on the return page.","","","",""
"What is zero filing in Form GSTR-3B?","Zero filing involves manually editing all relevant fields in the pre-filled GSTR-3B to zero or negative values (except ITC, which cannot be negative), and filing the return using EVC or DSC. This is used to report zero or negative liabilities even if there were pre-filled values.","","","",""
"What is a Nil Form GSTR-3B return and when can it be filed?","A Nil Form GSTR-3B can be filed when there are no transactions and no liability to report or pay in that tax period. This includes no outward supplies, no inward supplies liable to reverse charge, no ITC claims or reversals, and no interest or late fee liabilities.","","","",""
"Can a taxpayer file Nil GSTR-3B if there is auto-drafted interest from previous periods?","No, a Nil Form GSTR-3B cannot be filed if system-calculated interest is present for the current return period, as the Nil filing option will be disabled.","","","",""
"What is System Generated GSTR-3B?","System Generated GSTR-3B is a version of the return automatically pre-filled by the GST Portal using data from underlying returns (GSTR-1/1A and GSTR-2B). It helps in minimizing errors and improving compliance and can be downloaded in PDF format.","","","",""
"Why might the System Generated GSTR-3B PDF button be disabled?","The button might be disabled if the monthly GSTR-1/1A has not been filed or Form GSTR-2B has not been generated for the selected month, so auto-population data is incomplete.","","","",""
"What happens if only GSTR-2B is generated but GSTR-1/1A is not filed?","When only GSTR-2B is generated, auto-population in GSTR-3B will be partial. Some liability details from GSTR-1/1A will not be auto-populated until it is filed, though ITC data flows from GSTR-2B.","","","",""
"Will interest be computed on gross liability or net liability?","Interest is computed in accordance with first proviso to Section 50 of the CGST Act. Interest for the current period is levied only on the portion of liability discharged from the electronic cash ledger (Net liability), and on the entire liability for previous periods (Gross liability).","","","",""
"","","Does aggregate turnover include value of inward supplies received on which RCM is payable?","Refer Section 2(6) of CGST Act. Aggregate turnover does not include value of inward supplies on which tax is payable on reverse charge basis.","",""
"","","","","What if the dealer migrated with wrong PAN as the status of firm was changed from proprietorship to partnership?","New registration would be required as partnership firm would have new PAN."
"","","","","A taxable person’s business is in many states. All supplies are below 10 Lakhs. He makes an Inter State supply from one state. Is he liable for registration?","He is liable to register if the aggregate turnover (all India) is more than 20 lacs (Rs. 10 lacs in Special Category States) or if he is engaged in inter-State supplies."
"","","","","Can we use provisional GSTIN or do we get new GSTIN? Can we start using provisional GSTIN till new one is issued?","Provisional GSTIN (PID) should be converted into final GSTIN within 90 days. Yes, provisional GSTIN can be used till final GSTIN is issued. PID &amp; final GSTIN would be same."
"","","","","Whether trader of country liquor is required to migrate to GST from VAT as liquor is out of GST law?","If the person is involved in 100% supply of goods which are not liable for GST, then no registration is required."
"","","","","Not liable to tax as mentioned u/s 23 of CGST means nil rated supply or abated value of supply?","Not liable to tax means supplies which is not leviable to tax under the CGST/SGST/IGST Act. Please refer to definition under Section 2(78) of the CGST Act."
"","","","","Whether civil contractor doing projects in various states requires separate registration for all states or a single registration at state of head office will suffice?","A supplier of service will have to register at the location from where he is supplying services."
"","","","","Whether aggregate turnover includes turnover of supplies on which tax is payable by the recipient under reverse charge?","Outward supplies on which tax is paid on reverse charge basis by the recipient will be included in the aggregate turnover of the supplier."
"","","","","If there are two SEZ units within same state, whether two registrations are required to be obtained?","SEZs under same PAN in a state require one registration. Please see proviso to rule 8(1) of CGST Rules."
"","","","","Is an advocate providing interstate supply chargeable under Reverse Charge liable for registration?","Exemption from registration has been provided to such suppliers who are making only those supplies on which recipient is liable to discharge GST under RCM."
"","","","","When is registration in other state required? Will giving service from Nasik to other state require registration in other state?","If services are being provided from Nasik then registration is required to be taken only in Maharashtra and IGST to be paid on inter-state supplies."
"","","","","I have migrated under GST but want to register as ISD. Whether I can apply now &amp; what is the procedure?","A separate &amp; new registration is required for ISD."
"","","","","I have enrolled in GST but I forgot to enter SAC codes. What should I do? The status is migrated.","The same can be filled while filing FORM REG-26 for converting provisional ID to final registration."
"","","","","I have ST number on individual name and have migrated to GST.I wish to transfer this on my proprietorship firm.","This conversion may be done while filling FORM REG-26 for converting provisional ID to final registration."
"","","","","Please tell if rental income up to 20 lacs attracts GST or attracts any other charge?","GST is leviable only if aggregate turnover is more than 20 lacs. (Rs. 10 lacs in 11 special category States). For computing aggregate supplies turnover of all supplies made by you would be added."
"","","","","If someone trades only 0% GST items (grains, pulses) then is it necessary to register for GST, if the turnover exceeds ₹20 lacs?","A person dealing with 100% exempted supply is not liable to register irrespective of turnover."
"","","","","Is it correct that person dealing exclusively in NIL rated or exempt goods/ services liable to register if turnover &gt; 20/10 Lakh?","There is no liability of registration if the person is dealing with 100% exempt supplies."
"","","","","If I register voluntarily though turnover is less than 20 Lakhs, am I required to pay tax from 1st supply I make post registration?","Yes, you would be treated as a normal taxable person."
"","","","","Whether a separate GSTIN would be allotted to a registered person for deducting TDS (he has PAN and TAN as well)?","Separate registration as tax deductor is required."
"","","","","Is separate registration required for trading and manufacturing by same entity in one state?","There will be only one registration per State for all activities. But, you have the option to be registered as a separate business vertical."
"","","","","I am registered in TN and getting the service from unregistered dealer of AP, should I take registration in AP to discharge GST under RCM?","Any person who makes make inter-state taxable supply is required to take registration. Therefore in this case AP dealer shall take registration and pay tax."
"","","","","Is there any concept of area based exemption under GST?","There will be no area based exemptions in GST."
"","","","","If a company in Maharashtra holds only one event in Delhi, will they have to register in Delhi? Will paying IGST from Maharashtra suffice?","Only if you provide any supply from Delhi you need to take registration in Delhi. Else, registration at Mumbai is sufficient (and pay IGST on supplies made from Mumbai to Delhi)"
"","","","","How long can I wait to register in GST ?","An unregistered person has 30 days to complete its registration formalities from its date of liability to obtain registration."
"","","","","What If I am not liable to register under GST but I was registered under Service tax ?","You can apply for cancellation of Provisional ID on or before 31st July 2017."
"","","","","When turnover of agents will be added to that of the principal for registration?","No."
"","","","","If I am not an existing taxpayer and wish to newly register under GST, when can I do so?","You would be able to apply for new registration at the GST Portal gst.gov.in"
"","","","","If I buy raw material from supplier unregistered in GST, do I have to pay GST in RCM and can I avail ITC of the same?","Yes, you have to pay GST via RCM. You can avail ITC of the GST so paid if you are otherwise eligible."
"","","","","Can an unregistered dealer supply goods to other States if his turnover is below Rs. 20 lakhs?","No. The supplier would be liable to obtain registration in case of inter-State supplies irrespective of his turnover."
"","","","","Existing taxpayer registering a branch office in another state comes under fresh registration or under existing tax payer registration?","The registration in other State would come under fresh registration."
"","","","","Is registration necessary if only interstate supply of Nil rated goods is being made?","If exclusively making supplies of Nil rated supplies, registration is not compulsory. Kindly refer section 23 of CGST Act."
"","","","","Whether franchisor company will have to take registration in each state where outlets are located?","No, a franchisor company need not take registration in a state where only its franchisee is located."
"","","","","If I’m starting new business today, still need to get TIN and then apply for GST? Or can I directly register with GST?","You may directly take GST registration on www.gst.gov.in"
"","","","","A firm dealing exclusively in exempted products has GST registration; does it need to file return?","If registered, then you need to file returns. You may choose to cancel your registration since you are dealing only in exempted products."
